,recall,map,mrr,f1,n_questions,n_docs,top_k
0,0.2418358340688438,0.1194686014191752,0.2418358340688438,0.14251250367755228,1133,984,1
1,0.294792586054722,0.15579662810465975,0.2662547808178876,0.1325565260472588,1133,984,3
2,0.30803177405119153,0.16881361246873156,0.26929979405707555,0.11710021370215556,1133,984,5
3,0.31862312444836716,0.17419042311284763,0.27095994620266456,0.10367485804379026,1133,984,7
4,0.3292144748455428,0.17772039059287395,0.2721833452415976,0.08777525644678277,1133,984,10
5,0.34863195057369817,0.18073821510343355,0.2737151761644259,0.07153803872703969,1133,984,15
6,0.35834068843777583,0.1823381604046626,0.2742915727006499,0.06082097470033157,1133,984,20
7,0.3662842012356575,0.18352059699707418,0.2746413450869548,0.05362996457345452,1133,984,25
8,0.3715798764342454,0.18444247769227787,0.2748353258634598,0.04827716141979991,1133,984,30
9,0.3909973521624007,0.18573892945915918,0.27539977488941864,0.04067121389031782,1133,984,40
10,0.4086496028243601,0.1865727433572631,0.2757999549588841,0.035490775015442844,1133,984,50
11,0.4148278905560459,0.18727070836130216,0.2759119807736385,0.031662805826982755,1133,984,60
12,0.4245366284201236,0.18777914513498217,0.27606250458488973,0.02875624379391844,1133,984,70
13,0.44836716681376876,0.18821236827266097,0.2763781690536313,0.026715788881202508,1133,984,80
14,0.45719329214474846,0.18841207944060923,0.2764811411442143,0.024409203012990235,1133,984,90
15,0.46601941747572817,0.18855440476589755,0.2765744970029938,0.02252569353319522,1133,984,100
